doc_id	variant	group_id	chain_id	link	shift	length	content	tk_shifts	attributes	head	hd_shifts
2	1	408048	1049	0	2610	38	Оскорбленное достоинство Мордатенковой	2610,2623,2635	ref:def|str:noun|type:coref	достоинство Мордатенковой	2623,2635
2	1	408049	1049	408048	2758	5	мадам	2758	ref:def|str:noun|type:coref		
2	1	408050	1049	408049	2807	3	она	2807	ref:def|str:poss|type:coref		
2	1	408051	1053	408046	2830	15	Елены Сергеевны	2830,2836	ref:def|str:noun|type:coref	Елены Сергеевны	2830,2836
2	1	408052	1050	408047	2859	10	Незнакомец	2859	ref:def|str:noun|type:coref		
2	1	408053	1050	408052	2922	3	его	2922	ref:def|str:poss|type:coref		
2	1	408056	1053	408051	2938	12	учительницей	2938	ref:def|str:noun|type:coref		
2	1	408054	1049	408050	2985	12	Мордатенкова	2985	ref:def|str:noun|type:coref		
2	1	408055	1049	408054	3022	4	себе	3022	ref:def|str:refl|type:coref		
2	1	408057	1050	408053	3049	20	развязного пришельца	3049,3060	ref:def|str:noun|type:coref	пришельца	3060
2	1	408058	1053	408051	3088	2	вы	3088	ref:ds|str:pron|type:coref		
2	1	408059	1053	408051	3162	15	Елены Сергеевны	3162,3168	ref:def|str:noun|type:coref	Елены Сергеевны	3162,3168
2	1	408060	1053	408059	3181	1	Я	3181	ref:ds|str:pron|type:coref		
2	1	408061	1050	408053	3193	6	мою - то	3193,3196,3197	ref:ds|str:poss|type:coref	мою	3193
2	1	408087	1045	0	3240	6	Нюркой	3240	ref:def|str:noun|type:coref		
2	1	408088	1045	408087	3248	10	женой моей	3248,3254	ref:def|str:appo|type:coref	женой	3248
2	1	408062	1050	408061	3254	4	моей	3254	ref:ds|str:poss|type:coref		
2	1	408063	1050	408062	3308	1	я	3308	ref:ds|str:pron|type:coref		
2	1	408064	1053	408059	3310	2	те	3310	ref:ds|str:pron|type:coref		
2	1	408065	1050	408063	3324	1	Я	3324	ref:ds|str:pron|type:coref		
2	1	408066	1053	408064	3326	2	те	3326	ref:ds|str:pron|type:coref		
2	1	408067	1050	408065	3337	1	я	3337	ref:ds|str:pron|type:coref		
2	1	408068	1053	408066	3371	4	Сама	3371	ref:ds|str:refl|type:coref		
2	1	408069	1050	408065	3386	4	мине	3386	ref:ds|str:pron|type:coref		
2	1	408070	1050	408063	3508	3	мне	3508	ref:ds|str:pron|type:coref		
2	1	408071	1048	0	3512	5	метры	3512	ref:def|str:noun|type:anaph		
2	1	408072	1048	408071	3530	3	они	3530	ref:def|str:pron|type:anaph		
2	1	408127	1048	408072	3543	5	Метры	3543			
2	1	408073	1053	408064	3568	1	я	3568	ref:ds|str:pron|type:coref		
2	1	408074	1053	408073	3604	15	Елены Сергеевны	3604,3610	ref:def|str:noun|type:coref	Елены Сергеевны	3604,3610
2	1	408075	1050	408070	3634	3	мне	3634	ref:ds|str:pron|type:coref		
2	1	408077	1047	0	3638	5	метры	3638	ref:def|str:noun|type:anaph		
2	1	408078	1047	408077	3652	3	они	3652	ref:def|str:pron|type:anaph		
2	1	408076	1050	408075	3662	3	мне	3662	ref:ds|str:pron|type:coref		
2	1	408079	1053	408074	3698	8	Сергеева	3698	ref:ds|str:noun|type:coref		
2	1	408081	1046	0	3751	14	старшой - то мой	3751,3758,3759,3762	ref:def|str:appo|type:coref	старшой	3751
2	1	408080	1050	408076	3762	3	мой	3762	ref:ds|str:poss|type:coref		
2	1	408082	1046	408081	3767	12	Альбертик - то	3767,3776,3777	ref:def|str:noun|type:coref	Альбертик	3767
2	1	408083	1046	408081	3818	2	он	3818	ref:def|str:pron|type:coref		
2	1	408089	1044	408090	3952	9	Шульженко	3952	ref:def|str:noun|type:coref		
2	1	408090	1044	0	4071	9	Шульженко	4071	ref:def|str:noun|type:coref		
2	1	408084	1046	408081	4096	14	Альбертиком - то	4096,4107,4108	ref:def|str:noun|type:coref	Альбертиком	4096
2	1	408085	1050	408080	4206	1	я	4206	ref:ds|str:pron|type:coref		
2	1	408086	1053	408079	4208	2	те	4208	ref:ds|str:pron|type:coref		
2	1	408120	1050	408085	4315	15	голос в кепочке	4315,4321,4323	ref:def|str:noun|type:coref	голос	4315
2	1	408091	1043	0	4360	6	Витька	4360	ref:def|str:noun|type:coref		
2	1	408092	1043	408091	4368	11	Младший мой	4368,4376	ref:def|str:appo|type:coref	Младший	4368
2	1	408093	1050	408080	4376	3	мой	4376	ref:ds|str:poss|type:coref		
2	1	408094	1043	408091	4381	3	Ему	4381	ref:def|str:pron|type:coref		
2	1	408097	1043	408094	4405	5	малый	4405	ref:pred|str:noun|type:coref		
2	1	408095	1050	408093	4412	1	я	4412	ref:ds|str:pron|type:coref		
2	1	408096	1053	408086	4414	2	те	4414	ref:ds|str:pron|type:coref		
2	1	408098	1043	408097	4425	6	Умница	4425	ref:pred|str:noun|type:coref		
2	1	408099	1043	408098	4433	5	Игрун	4433	ref:pred|str:noun|type:coref		
2	1	408100	1043	408099	4440	3	Ему	4440	ref:def|str:pron|type:coref		
2	1	408101	1043	408100	4477	2	Он	4477	ref:def|str:pron|type:coref		
2	1	408102	1043	408101	4583	3	Ему	4583	ref:def|str:pron|type:coref		
2	1	408103	1043	408102	4602	3	Ему	4602	ref:def|str:pron|type:coref		
2	1	408104	1050	408085	4675	1	я	4675	ref:ds|str:pron|type:coref		
2	1	408105	1043	408101	4691	3	ему	4691	ref:def|str:pron|type:coref		
2	1	408106	1050	408104	4750	4	меня	4750	ref:ds|str:pron|type:coref		
2	1	408107	1050	408106	4797	1	я	4797	ref:ds|str:pron|type:coref		
2	1	408109	1049	408054	4872	12	Мордатенкова	4872	ref:def|str:noun|type:coref		
2	1	408108	1050	408107	4899	2	он	4899	ref:def|str:pron|type:coref		
2	1	408129	1039	0	4913	7	коридор	4913	ref:def|str:noun|type:coref		
2	1	408110	1049	408109	4945	3	она	4945	ref:def|str:pron|type:coref		
2	1	408111	1049	408110	4951	4	свою	4951	ref:def|str:refl|type:coref		
2	1	408112	1049	408111	4985	2	ее	4985	ref:def|str:poss|type:coref		
2	1	408113	1042	0	4985	9	ее супруг	4985,4988	ref:def|str:noun|type:coref	супруг	4988
2	1	408114	1042	408113	5038	7	Харитон	5038	ref:ds|str:noun|type:coref		
2	1	408115	1049	408109	5061	5	мадам	5061	ref:def|str:noun|type:coref		
2	1	408119	1050	408106	5074	15	бандит какой - то	5074,5081,5086,5087	ref:def|str:noun|type:coref	бандит	5074
2	1	408128	1053	408086	5114	8	соседкой	5114	ref:def|str:noun|type:coref		
2	1	408116	1042	408114	5187	11	Мордатенков	5187	ref:def|str:noun|type:coref		
2	1	408130	1039	408129	5216	7	коридор	5216	ref:def|str:noun|type:coref		
2	1	408117	1042	408116	5244	3	его	5244	ref:def|str:pron|type:coref		
2	1	408118	1050	408106	5271	17	мужчина в кепочке	5271,5279,5281	ref:def|str:noun|type:coref	мужчина	5271
2	1	408132	1038	408131	5304	4	губе	5304	ref:def|str:noun|type:coref		
2	1	408134	1037	408133	5309	7	окурком	5309	ref:def|str:noun|type:coref		
5	1	408241	1017	0	0	6	Ванька	0	ref:def|str:noun|type:coref		
5	1	408245	1015	0	0	16	Ванька с Танькой	0,7,9	ref:def|str:noun|type:coref	Ванька Танькой	0,9
5	1	408242	1016	0	9	7	Танькой	9	ref:def|str:noun|type:coref		
5	1	408243	1017	408241	34	15	Иван Тихонович	34,40	ref:def|str:noun|type:coref	Иван Тихонович	34,40
5	1	408246	1015	408245	34	47	Иван Тихонович и Татьяна Финогеновна Заплатины	34,40,50,52,60,72	ref:def|str:noun|type:coref	Иван Тихонович Татьяна Финогеновна Заплатины	34,40,52,60,72
5	1	408244	1016	408242	52	19	Татьяна Финогеновна	52,60	ref:def|str:noun|type:coref	Татьяна Финогеновна	52,60
5	1	408249	1014	0	111	26	скамейке возле своего дома	111,120,126,133	ref:def|str:noun|type:coref	скамейке	111
5	1	408247	1015	408246	126	6	своего	126	ref:def|str:refl|type:coref		
5	1	408248	1015	408247	151	3	них	151	ref:def|str:pron|type:coref		
5	1	408250	1014	408249	185	11	скамейке - то	185,193,194	ref:def|str:noun|type:coref	скамейке	185
5	1	408251	1015	408248	324	3	они	324	ref:def|str:pron|type:coref		
5	1	408252	1017	408243	418	15	Иван Тихонович	418,424	ref:def|str:noun|type:coref	Иван Тихонович	418,424
5	1	408253	1013	0	450	22	старом речном картузе	450,457,465	ref:def|str:noun|type:coref	картузе	465
5	1	408257	1012	0	484	21	золотоцветного знака	484,500	ref:def|str:noun|type:coref	знака	500
5	1	408254	1013	408253	508	6	Картуз	508	ref:def|str:noun|type:coref		
5	1	408255	1013	408254	588	2	он	588	ref:def|str:pron|type:coref		
5	1	408256	1013	408254	722	60	Картуз с сереющим на месте отколупнувшейся кокарды пятнышком	722,729,731,740,743,749,765,773	ref:def|str:noun|type:coref	Картуз	722
5	1	408258	1012	408257	749	23	отколупнувшейся кокарды	749,765	ref:def|str:noun|type:coref	кокарды	765
5	1	408259	1013	408256	826	5	своей	826	ref:def|str:refl|type:coref		
5	1	408333	1000	0	1018	21	вислую ветку березы	1018,1026,1033	ref:def|str:noun|type:coref	березы	1033
5	1	408261	1000	408333	1049	2	ее	1049	ref:def|str:pron|type:anaph		
5	1	408262	1016	408244	1235	19	Татьяна Финогеновна	1235,1243	ref:def|str:noun|type:coref	Татьяна Финогеновна	1235,1243
5	1	408263	1017	408252	1280	16	Ивана Тихоновича	1280,1286	ref:def|str:noun|type:coref	Ивана Тихоновича	1280,1286
5	1	408264	1010	0	1569	5	волос	1569	ref:def|str:noun|type:anaph		
5	1	408265	1010	408264	1625	3	ему	1625	ref:def|str:pron|type:coref		
5	1	408270	1008	0	1707	16	ситцевом платье	1707,1717	ref:def|str:noun|type:coref	платье	1717
5	1	408273	1007	0	1762	30	тесном мундирчике с карманами	1762,1769,1780,1783	ref:def|str:noun|type:coref	мундирчике	1769
5	1	408272	1007	408273	1815	7	жакетом	1815	ref:def|str:noun|type:coref		
5	1	408268	1009	0	1846	19	синеньком платочке	1846,1857	ref:def|str:noun|type:coref	платочке	1857
5	1	408266	1016	408262	1915	19	Татьяна Финогеновна	1915,1923	ref:def|str:noun|type:coref	Татьяна Финогеновна	1915,1923
5	1	408274	1007	408272	1986	5	Жакет	1986	ref:def|str:noun|type:coref		
5	1	408267	1016	408266	1992	19	Татьяна Финогеновна	1992,2000	ref:def|str:noun|type:coref	Татьяна Финогеновна	1992,2000
5	1	408271	1008	408270	2079	8	платьице	2079	ref:def|str:noun|type:coref		
5	1	408269	1009	408268	2112	8	платочка	2112	ref:def|str:noun|type:coref		
5	1	408260	1011	0	2150	3	шее	2150	ref:def|str:noun|type:coref		
5	1	408334	1011	408260	2245	3	шеи	2245	ref:def|str:noun|type:coref		
5	1	408275	1017	408263	2256	17	Ивану Тихоновичу	2256,2263	ref:def|str:noun|type:coref	Ивану Тихоновичу	2256,2263
5	1	408276	1009	408269	2301	15	синий платочек	2301,2308	ref:def|str:noun|type:coref	платочек	2308
5	1	408277	1009	408276	2366	25	почти отцветший платочек	2366,2372,2383	ref:def|str:noun|type:coref	платочек	2383
5	1	408278	1009	408277	2446	3	его	2446	ref:def|str:pron|type:coref		
5	1	408279	1017	408275	2450	14	Иван Тихонович	2450,2455	ref:def|str:noun|type:coref	Иван Тихонович	2450,2455
5	1	408280	1017	408279	2478	3	его	2478	ref:def|str:pron|type:coref		
5	1	408281	1006	0	2478	10	его сердце	2478,2482	ref:def|str:noun|type:coref	сердце	2482
5	1	408282	1006	408281	2503	6	сердце	2503	ref:def|str:noun|type:coref		
5	1	408283	1005	0	2543	12	теплые слезы	2543,2550	ref:def|str:noun|type:anaph	слезы	2550
5	1	408284	1005	408283	2568	3	они	2568	ref:def|str:pron|type:anaph		
5	1	408285	1017	408280	2772	3	его	2772	ref:def|str:pron|type:coref		
5	1	408286	1017	408285	2837	2	он	2837	ref:def|str:pron|type:coref		
5	1	408287	1017	408286	2879	3	его	2879	ref:def|str:pron|type:coref		
5	1	408288	1017	408287	2946	3	его	2946	ref:def|str:poss|type:coref		
5	1	408289	1017	408288	3133	17	Ивана Тихоновича	3133,3140	ref:def|str:noun|type:coref	Ивана Тихоновича	3133,3140
5	1	408290	1017	408289	3191	4	него	3191	ref:def|str:pron|type:coref		
5	1	408291	1017	408290	3315	2	он	3315	ref:def|str:pron|type:coref		
5	1	408292	1017	408291	3327	4	себе	3327	ref:def|str:refl|type:coref		
5	1	408295	1004	0	3445	25	дрова из столярного цеха	3445,3452,3455,3466	ref:def|str:pron|type:anaph	дрова	3445
5	1	408293	1017	408292	3484	1	Я	3484	ref:ds|str:pron|type:coref		
5	1	408294	1004	408295	3486	2	их	3486	ref:def|str:pron|type:anaph		
5	1	408296	1017	408293	3521	14	Иван Тихонович	3521,3526	ref:def|str:noun|type:coref	Иван Тихонович	3521,3526
5	1	408298	1003	0	3555	14	два поросенка	3555,3560	ref:def|str:noun|type:coref	поросенка	3560
5	1	408297	1003	408298	3595	3	них	3595	ref:def|str:pron|type:coref		
5	1	408299	1017	408296	3798	16	Ивана Тихоновича	3798,3804	ref:def|str:noun|type:coref	Ивана Тихоновича	3798,3804
5	1	408300	1016	408267	3944	4	Тани	3944	ref:def|str:noun|type:coref		
5	1	408301	1016	408300	3950	19	Татьяны Финогеновны	3950,3958	ref:def|str:noun|type:coref	Татьяны Финогеновны	3950,3958
5	1	408302	1016	408301	3971	3	Она	3971	ref:def|str:pron|type:coref		
5	1	408303	1017	408299	4033	2	он	4033	ref:def|str:pron|type:coref		
5	1	408304	1016	408302	4037	2	ее	4037	ref:def|str:pron|type:coref		
5	1	408335	999	0	4074	33	том недоношенном мужском пиджаке	4074,4079,4092,4100	ref:def|str:noun|type:coref	пиджаке	4100
5	1	408305	999	408335	4111	8	которому	4111	ref:def|str:rel|type:coref		
5	1	408307	1002	0	4129	12	русские бабы	4129,4137	ref:def|str:noun|type:anaph	бабы	4137
5	1	408306	999	408335	4171	2	им	4171	ref:def|str:pron|type:coref		
5	1	408308	1002	408307	4175	4	свой	4175	ref:def|str:refl|type:anaph		
5	1	408309	1017	408303	4394	16	Иван Тихонович	4394,4401	ref:def|str:noun|type:coref	Иван Тихонович	4394,4401
5	1	408310	1017	408309	4584	15	Иван Тихонович	4584,4590	ref:def|str:noun|type:coref	Иван Тихонович	4584,4590
5	1	408312	1015	408251	4584	38	Иван Тихонович и Татьяна Финогеновна	4584,4590,4600,4603,4611	ref:def|str:noun|type:coref	Иван Тихонович Татьяна Финогеновна	4584,4590,4603,4611
5	1	408311	1016	408304	4603	19	Татьяна Финогеновна	4603,4611	ref:def|str:noun|type:coref	Татьяна Финогеновна	4603,4611
5	1	408313	1017	408310	4737	6	Хозяин	4737	ref:def|str:noun|type:coref		
5	1	408314	1017	408313	4875	2	он	4875	ref:def|str:pron|type:coref		
5	1	408315	1016	408311	5006	22	Татьяны же Финогеновны	5006,5014,5017	ref:def|str:noun|type:coref	Татьяны Финогеновны	5006,5017
5	1	408316	1016	408315	5140	2	ей	5140	ref:def|str:pron|type:coref		
5	1	408317	1016	408316	5171	4	свое	5171	ref:def|str:refl|type:coref		
5	1	408318	1014	408250	5219	8	скамейку	5219	ref:def|str:noun|type:coref		
5	1	408319	1016	408317	5353	3	она	5353	ref:def|str:pron|type:coref		
5	1	408320	1016	408319	5399	2	ее	5399	ref:def|str:pron|type:coref		
5	1	408321	1016	408320	5416	3	она	5416	ref:def|str:pron|type:coref		
5	1	408322	1017	408314	5449	15	Иван Тихонович	5449,5455	ref:def|str:noun|type:coref	Иван Тихонович	5449,5455
5	1	408323	1016	408321	5488	7	супругу	5488	ref:def|str:noun|type:coref		
5	1	408324	1016	408323	5537	3	Она	5537	ref:def|str:pron|type:coref		
5	1	408325	1017	408322	5541	3	ему	5541	ref:def|str:pron|type:coref		
5	1	408326	1016	408324	5675	19	Татьяна Финогеновна	5675,5683	ref:def|str:noun|type:coref	Татьяна Финогеновна	5675,5683
5	1	408327	1001	0	5763	8	таблеток	5763	ref:def|str:noun|type:anaph		
5	1	408328	1001	408327	5773	3	они	5773	ref:def|str:pron|type:anaph		
5	1	408329	1016	408326	5781	2	ей	5781	ref:def|str:pron|type:coref		
5	1	408330	1001	408328	5802	3	них	5802	ref:def|str:pron|type:anaph		
5	1	408331	1016	408329	5856	2	ей	5856	ref:def|str:pron|type:coref		
5	1	408332	1016	408331	5952	3	она	5952	ref:def|str:pron|type:coref		
8	1	408783	938	0	15	4	окна	15	ref:def|str:noun|type:coref		
8	1	408780	939	0	36	16	Саньки Коншакова	36,43	ref:def|str:noun|type:coref	Саньки Коншакова	36,43
8	1	408802	932	0	191	4	река	191	ref:def|str:noun|type:coref		
8	1	408781	939	408780	257	6	Санька	257	ref:def|str:noun|type:coref		
8	1	408784	938	408783	277	11	окна класса	277,282	ref:def|str:noun|type:coref	окна	277
8	1	408790	935	0	282	6	класса	282	ref:def|str:noun|type:coref		
8	1	408782	939	408781	289	3	ему	289	ref:def|str:pron|type:coref		
8	1	408785	937	0	311	6	дорогу	311	ref:def|str:noun|type:coref		
8	1	408786	937	408785	322	7	которой	322	ref:def|str:rel|type:coref		
8	1	408787	936	0	381	36	колхозный письмоносец Тимка Колечкин	381,391,403,409	ref:def|str:noun|type:coref	письмоносец Тимка Колечкин	391,403,409
8	1	408788	939	408782	428	6	Санька	428	ref:def|str:noun|type:coref		
8	1	408789	935	408790	480	6	класса	480	ref:def|str:noun|type:coref		
8	1	408791	936	408787	513	5	Тимку	513	ref:def|str:noun|type:coref		
8	1	408792	936	408791	534	11	письмоносец	534	ref:def|str:noun|type:coref		
8	1	408793	936	408792	605	3	его	605	ref:def|str:pron|type:coref		
8	1	408794	939	408788	625	6	Санька	625	ref:def|str:noun|type:coref		
8	1	408795	934	0	700	7	пилотку	700	ref:def|str:noun|type:coref		
8	1	408796	934	408795	709	7	которую	709	ref:def|str:rel|type:coref		
8	1	408797	939	408794	717	2	он	717	ref:def|str:pron|type:coref		
8	1	408798	939	408797	745	4	него	745	ref:def|str:pron|type:coref		
8	1	408824	930	0	806	5	школы	806	ref:def|str:noun|type:coref		
8	1	408799	937	408786	896	34	черную от вытаявшего навоза дорогу	896,903,906,917,924	ref:def|str:noun|type:coref	дорогу	924
8	1	408800	933	0	932	40	проталины на пригретых солнцем пригорках	932,942,945,955,963	ref:def|str:noun|type:anaph	проталины	932
8	1	408801	933	408800	1037	3	ним	1037	ref:def|str:pron|type:anaph		
8	1	408803	932	408802	1065	4	река	1065	ref:def|str:noun|type:coref		
8	1	408804	936	408793	1098	9	наш Тимка	1098,1102	ref:def|str:noun|type:coref	Тимка	1102
8	1	408805	939	408798	1158	6	Санька	1158	ref:def|str:noun|type:coref		
8	1	408806	939	408805	1184	2	он	1184	ref:def|str:pron|type:coref		
8	1	408807	936	408793	1399	14	Тимка Колечкин	1399,1405	ref:def|str:noun|type:coref	Тимка Колечкин	1399,1405
8	1	408808	939	408806	1482	6	Санька	1482	ref:def|str:noun|type:coref		
8	1	408809	936	408807	1497	3	ему	1497	ref:def|str:pron|type:coref		
8	1	408810	936	408809	1552	7	почтарь	1552	ref:def|str:noun|type:coref		
8	1	408811	932	408803	1619	4	реку	1619	ref:def|str:noun|type:coref		
8	1	408812	936	408810	1645	5	Тимка	1645	ref:def|str:noun|type:coref		
8	1	408813	939	408808	1655	6	Санька	1655	ref:def|str:noun|type:coref		
8	1	408827	929	0	1672	34	толстую кожаную сумку на его плече	1672,1680,1688,1694,1697,1701	ref:def|str:noun|type:coref	сумку	1688
8	1	408814	936	408812	1697	3	его	1697	ref:def|str:poss|type:coref		
8	1	408819	931	0	1874	3	нам	1874	ref:ds|str:pron|type:coref		
8	1	408815	936	408814	1897	1	Я	1897	ref:ds|str:pron|type:coref		
8	1	408816	936	408815	1912	5	Тимка	1912	ref:def|str:noun|type:coref		
8	1	408817	939	408813	1942	6	Саньку	1942	ref:def|str:noun|type:coref		
8	1	408818	936	408816	1961	3	мне	1961	ref:ds|str:pron|type:coref		
8	1	408820	931	408819	2033	3	вам	2033	ref:ds|str:pron|type:coref		
8	1	408821	936	408818	2049	2	Ты	2049	ref:ds|str:pron|type:coref		
8	1	408822	939	408817	2116	6	Санька	2116	ref:def|str:noun|type:coref		
8	1	408823	930	408824	2157	5	школе	2157	ref:def|str:noun|type:coref		
8	1	408825	936	408821	2167	5	Тимка	2167	ref:def|str:noun|type:coref		
8	1	408826	939	408822	2214	7	Санькой	2214	ref:def|str:noun|type:coref		
8	1	408828	929	408827	2233	5	сумке	2233	ref:def|str:noun|type:coref		
8	1	408829	939	408826	2252	3	ним	2252	ref:def|str:pron|type:coref		
8	1	408830	928	0	2262	13	Машу Ракитину	2262,2267	ref:def|str:noun|type:coref	Машу Ракитину	2262,2267
8	1	408833	927	0	2284	6	Письмо	2284	ref:def|str:noun|type:coref		
